ID,YEAR,LOC,SN,AT,AP,AH,AFDP,GTEP,TIT,TAT,TEY,CDP,NOX,CO
22,2022,Poland,0903XTR,15.616,1013.0,96.26,5.7181,31.732,1099.9,533.08,155.76,13.764,-,0.92988
23,2022,Estonia,0903XTR,22.04,1014.6,89.562,3.3182,20.826,1064.0,550.09,114.39,10.84,54.637,2.2415
24,2020,Ireland,0903XTR,21.238,1012.9,88.783,3.5716,19.527,1055.6,549.92,108.59,10.45,57.107,5.4552
25,2019,Denmark,0903XTR,23.078,1014.5,86.464,5.2424,30.838,1100.0,543.31,148.58,13.304,53.85,0.93113
26,2022,Greece,0903XTR,21.185,1012.9,91.249,3.1056,20.097,1060.1,549.95,112.76,10.535,56.509,2.0465
27,2020,Czech Republic,0903XTR,4.8323,1008.3,86.684,2.4689,19.908,1037.0,534.42,112.36,10.602,112.64,11.744
28,2020,Slovakia,0903XTR,9.2488,1013.9,70.332,3.1009,23.685,1083.9,549.8,133.53,11.806,81.323,1.9878
29,2018,Bulgaria,0903XTR,14.446,1006.6,65.796,2.7371,24.993,1054.1,550.03,114.77,10.738,-,3.8048
30,2020,Latvia,0903XTR,25.321,1013.4,64.577,4.1848,25.607,1091.9,549.66,133.68,12.137,62.958,0.9994
31,2019,Netherlands,0903XTR,15.762,1009.5,55.852,3.7376,25.461,1087.2,550.01,133.3,11.875,63.786,1.0961
32,2018,Ireland,0903XTR,11.111,1019.9,52.356,4.0372,33.277,1096.7,539.02,154.37,13.472,-,3.3762
33,2022,Greece,0903XTR,10.27,1013.8,100.15,6.9259,32.973,1100.1,528.72,161.23,13.973,64.321,0.86857
34,2022,Portugal,0903XTR,10.185,1021.9,89.257,4.328,24.107,1086.1,550.07,134.47,11.903,-,0.985
35,2020,Slovenia,0903XTR,21.66,1015.1,67.498,3.466,25.291,1090.1,550.15,133.8,12.082,69.722,1.3973
36,2019,Spain,0903XTR,23.555,1011.7,82.657,5.089,29.9,1099.7,546.27,146.82,13.164,54.312,1.4985
37,2020,Germany,0903XTR,5.4158,1026.1,82.718,4.6417,36.95,1100.0,521.1,172.96,14.811,80.553,1.4415
38,2021,Finland,0903XTR,10.212,1008.8,98.65,2.8338,23.539,1082.6,550.01,132.73,11.786,75.95,2.218
39,2019,Poland,0903XTR,8.4524,1020.7,67.772,3.7226,32.954,1100.2,537.13,159.34,13.738,60.124,0.59439
40,2021,Italy,0903XTR,19.12,1005.2,95.198,3.816,19.606,1054.4,549.78,109.83,10.307,56.649,4.5023
41,2020,Malta,0903XTR,20.863,1012.3,86.083,3.6331,25.164,1088.6,550.15,132.7,12.039,62.073,1.8116
42,2019,Finland,0903XTR,21.347,1011.9,95.07,3.9337,24.988,1077.9,550.08,128.92,11.846,-,2.0836
43,2019,Spain,0903XTR,13.195,1017.1,87.645,3.5558,25.142,1078.6,550.04,134.3,11.869,57.298,0.87134
44,2021,Germany,0903XTR,19.263,1009.9,87.904,3.4442,19.544,1056.2,550.23,109.83,10.392,-,4.711
45,2021,France,0903XTR,5.3862,1003.5,98.906,6.4348,33.402,1099.6,528.54,164.02,14.031,-,0.38051
46,2018,Spain,0903XTR,17.333,1014.8,83.386,3.6624,26.386,1090.2,550.59,140.35,12.423,53.914,1.6122
47,2019,Austria,0903XTR,14.478,1010.5,90.479,3.6504,25.342,1086.3,549.96,133.13,11.909,-,1.1924
48,2021,Netherlands,0903XTR,21.181,1013.8,57.676,4.2238,25.137,1089.9,549.76,133.82,12.081,-,1.7549
49,2019,Estonia,0903XTR,19.101,1008.2,88.304,5.1189,28.967,1098.6,548.37,145.68,12.911,-,1.1869
50,2019,Sweden,0903XTR,14.295,1005.6,94.748,3.6256,25.755,1078.8,550.0,135.03,11.912,59.994,1.0018
51,2020,Croatia,0903XTR,22.908,1011.0,78.597,4.8163,23.772,1074.5,546.5,124.0,11.616,-,2.9928
52,2018,Greece,0903XTR,10.985,1004.9,91.923,4.3674,31.684,1100.1,539.42,156.63,13.567,62.269,2.1729
53,2020,Slovenia,0903XTR,18.191,1013.5,90.689,3.6223,25.028,1089.5,549.71,134.29,12.105,67.384,1.7999
54,2020,Italy,0903XTR,16.92,1019.3,85.658,3.337,24.329,1085.7,550.03,131.91,11.899,-,1.9616
55,2021,Latvia,0903XTR,14.827,1006.8,86.188,5.0624,24.363,1084.1,550.19,132.55,11.8,71.838,1.6234
56,2021,France,0903XTR,13.976,1008.1,78.433,4.8326,24.859,1087.3,549.73,134.76,11.997,74.219,1.006
57,2021,Portugal,0903XTR,5.9579,1002.2,94.34,3.6484,32.868,1100.1,529.79,164.31,13.931,-,0.59784
58,2020,Portugal,0903XTR,24.496,1011.8,93.924,4.2055,21.098,1064.9,549.97,114.13,10.892,-,3.5776
59,2022,Slovakia,0903XTR,15.781,1010.0,74.172,4.7926,25.81,1093.9,550.16,139.85,12.301,74.487,1.1793
60,2020,Hungary,0903XTR,14.633,1025.4,84.367,3.1369,25.002,1089.2,550.01,135.02,12.065,-,0.87417
61,2019,Germany,0903XTR,16.444,1005.7,74.685,3.0794,19.212,1038.5,545.2,106.35,10.237,-,5.3101
62,2021,Croatia,0903XTR,28.783,1013.9,60.726,4.4011,26.512,1094.3,549.46,134.05,12.303,-,0.64442
63,2021,Romania,0903XTR,17.161,1005.7,92.201,4.3806,19.25,1052.8,549.77,108.68,10.294,71.453,4.3643
64,2020,Bulgaria,0903XTR,26.743,1010.8,60.348,4.5093,25.223,1088.4,549.7,130.27,12.05,-,2.1535
65,2020,Belgium,0903XTR,23.527,1008.9,93.363,5.2283,25.665,1090.8,550.2,133.69,12.16,59.658,1.6834
66,2022,Croatia,0903XTR,3.2959,1019.1,82.939,3.9385,23.557,1084.6,550.09,133.66,11.799,-,0.57787
67,2019,Slovenia,0903XTR,19.14,1008.5,64.44,3.913,25.039,1080.7,549.98,133.76,11.955,65.875,1.6399
68,2022,Czech Republic,0903XTR,27.067,1017.3,55.381,4.5182,31.024,1099.6,535.9,150.15,13.451,63.666,2.0212
69,2018,Lithuania,0903XTR,17.801,1008.1,78.831,4.2369,30.948,1099.9,541.77,153.08,13.447,-,1.0448
70,2019,Poland,0903XTR,25.56,1012.3,72.366,3.9618,25.28,1080.2,550.04,129.75,11.954,52.673,1.7768
71,2019,Czech Republic,0903XTR,11.328,1010.7,98.535,3.6555,25.157,1077.1,549.98,134.01,11.932,59.144,1.2146
72,2020,Czech Republic,0903XTR,23.683,1011.3,68.817,2.9517,20.122,1058.0,550.0,109.2,10.6,54.661,3.9522
73,2018,Germany,0903XTR,7.5153,1018.9,81.699,3.3753,24.436,1081.6,550.32,136.32,11.932,71.327,3.1701
74,2021,Sweden,0903XTR,24.117,1007.2,66.2,4.2798,19.973,1056.9,549.92,109.79,10.568,-,3.41
75,2022,Lithuania,0903XTR,22.91,1011.9,95.111,3.1437,20.106,1059.6,550.02,111.58,10.558,50.774,1.9288
76,2018,Czech Republic,0903XTR,12.592,1009.5,83.938,3.143,22.16,1066.3,549.88,123.89,11.319,58.284,3.0007
77,2019,Austria,0903XTR,18.827,1016.0,74.95,4.6092,31.991,1100.1,538.92,155.58,13.641,59.335,1.3291
78,2021,Portugal,0903XTR,26.612,1008.7,72.054,4.4325,25.939,1091.6,550.28,133.82,12.059,-,1.5724
79,2018,Slovenia,0903XTR,4.9364,1012.8,84.638,2.6627,18.74,1047.0,549.59,109.73,10.405,77.546,6.1741
80,2018,Croatia,0903XTR,13.58,1004.7,77.894,2.9454,26.403,1058.9,550.27,118.31,10.94,64.385,3.6741
81,2022,Finland,0903XTR,7.0397,1021.4,93.593,3.3101,19.182,1043.4,540.04,111.67,10.513,107.03,9.2453
82,2021,Bulgaria,0903XTR,5.1887,1018.7,75.34,3.7949,20.341,1030.4,529.48,111.94,10.588,-,9.5333
83,2018,Belgium,0903XTR,23.925,1016.7,78.755,4.2222,29.767,1100.1,545.48,147.81,13.195,-,1.5237
84,2022,Sweden,0903XTR,27.008,1011.9,63.526,3.8941,25.844,1092.9,550.13,133.84,12.286,65.704,0.91792
85,2020,Finland,0903XTR,9.0065,1013.7,66.558,4.2271,32.84,1099.9,530.31,160.03,13.919,-,1.1931
86,2018,Croatia,0903XTR,20.812,989.4,44.229,2.9135,24.883,1047.4,550.39,108.77,10.375,66.771,5.3646
87,2019,Greece,0903XTR,11.404,1009.0,90.757,2.8506,18.916,1036.8,541.4,104.39,10.161,-,8.3666
88,2019,Belgium,0903XTR,13.993,997.89,83.466,3.9916,31.147,1100.0,540.87,154.92,13.469,-,1.0371
89,2021,Austria,0903XTR,23.817,1013.9,82.186,4.2724,25.856,1092.2,549.94,134.73,12.175,59.004,0.59052
90,2021,Ireland,0903XTR,23.914,1009.9,51.84,5.9876,31.186,1100.0,537.02,152.46,13.458,71.818,2.955
91,2020,Latvia,0903XTR,19.307,1015.9,73.086,3.3043,24.276,1085.1,549.89,130.76,11.801,68.255,1.4324
92,2020,Portugal,0903XTR,10.699,1016.2,81.498,2.9942,23.145,1079.4,549.98,129.34,11.627,-,3.3202
93,2019,Sweden,0903XTR,8.5563,1017.4,84.62,2.6556,21.396,1062.7,549.94,122.22,11.164,-,3.1512
94,2021,Greece,0903XTR,6.779,1005.0,99.391,6.1882,32.764,1099.8,530.17,162.65,13.813,85.276,0.82426
95,2020,Poland,0903XTR,16.994,1005.4,77.96,2.621,19.359,1053.3,549.95,108.39,10.29,-,4.9265
96,2020,Latvia,0903XTR,16.478,1010.9,78.799,3.2673,24.944,1087.5,549.73,133.68,12.006,-,2.0124
97,2022,Finland,0903XTR,11.737,1013.9,90.566,4.7731,32.346,1100.1,530.47,160.27,13.911,-,0.15641
98,2021,Ireland,0903XTR,6.8548,1011.2,97.667,6.3214,33.079,1099.9,528.55,163.75,14.042,-,0.33817
99,2020,Austria,0903XTR,16.387,997.27,87.979,3.2567,24.537,1085.3,550.32,133.25,11.878,75.664,1.7585
100,2019,Bulgaria,0903XTR,13.108,1015.3,61.55,2.5685,21.874,1065.0,549.88,122.6,11.263,67.196,1.6847
101,2022,Germany,0903XTR,13.511,1019.2,80.339,3.8843,24.361,1087.8,549.87,134.74,11.963,76.482,1.2885
102,2020,Bulgaria,0903XTR,11.761,1016.1,90.52,3.1894,24.618,1085.5,549.83,134.19,11.852,-,0.97623
103,2022,Slovenia,0903XTR,24.908,1012.7,74.398,3.9719,25.489,1092.3,550.43,133.8,12.329,58.913,1.1486
104,2019,Italy,0903XTR,22.145,1002.6,98.442,4.2493,23.56,1069.2,550.0,122.48,11.336,48.846,2.2623
105,2019,Lithuania,0903XTR,20.815,1003.7,94.91,3.3462,20.745,1053.3,550.1,111.92,10.615,-,2.8265
106,2020,Hungary,0903XTR,22.35,1002.0,69.918,3.8387,25.573,1089.8,549.62,134.33,12.134,-,1.3389
107,2020,Hungary,0903XTR,14.624,1022.5,85.944,3.9104,31.101,1096.2,538.86,153.91,13.508,80.078,1.1342
108,2022,Greece,0903XTR,11.074,1022.0,92.961,3.5297,19.433,1050.0,545.1,111.57,10.534,85.594,5.2339
109,2020,Romania,0903XTR,15.242,1012.7,64.248,3.3616,24.418,1086.4,550.0,133.33,11.952,73.066,1.2112
110,2021,Netherlands,0903XTR,25.388,1008.6,91.666,4.1027,24.719,1083.9,549.85,128.27,11.786,-,2.1733
111,2018,Netherlands,0903XTR,11.477,1031.8,77.576,3.3579,23.406,1076.0,549.83,130.12,11.753,-,5.1755
112,2018,Slovakia,0903XTR,11.586,1023.6,63.26,3.3975,23.64,1076.7,550.0,130.91,11.652,59.68,2.753
113,2021,Netherlands,0903XTR,25.693,1006.5,59.311,5.2739,25.536,1089.6,549.94,132.74,12.03,-,1.1638
114,2021,Estonia,0903XTR,33.077,1015.2,50.528,4.5263,26.717,1096.3,549.57,133.81,12.517,-,0.22192
115,2018,Greece,0903XTR,24.719,1015.1,51.16,4.1626,29.988,1099.4,544.37,147.73,13.209,-,1.5872
116,2018,Romania,0903XTR,10.302,1028.2,76.192,3.2071,23.226,1075.4,549.87,130.54,11.766,-,2.8509
117,2018,Czech Republic,0903XTR,7.3466,1024.0,73.298,4.0431,34.589,1100.0,532.48,162.64,14.038,-,2.9109
118,2020,Luxembourg,0903XTR,26.507,1012.8,80.56,4.1448,20.517,1060.7,549.87,110.29,10.668,-,3.4965
119,2021,Czech Republic,0903XTR,20.262,1012.5,82.892,4.5325,25.221,1089.9,549.62,133.72,12.126,-,1.9625
120,2022,Slovenia,0903XTR,14.369,1005.5,91.293,3.4718,23.118,1078.6,550.04,128.9,11.604,-,1.4661
121,2018,Austria,0903XTR,10.339,1028.0,78.2,3.8239,26.553,1094.0,550.26,144.88,12.529,-,2.8564
122,2019,Greece,0903XTR,19.888,1002.9,88.364,3.7685,24.038,1073.3,549.86,127.5,11.578,53.727,1.5281
123,2018,Germany,0903XTR,19.068,1023.9,70.931,3.1011,19.521,1051.6,550.01,110.52,10.538,-,4.1653
124,2022,Romania,0903XTR,29.308,1012.9,61.213,4.2051,26.29,1095.3,549.9,133.76,12.265,60.473,0.99509
125,2018,Slovenia,0903XTR,10.862,1015.7,40.336,4.2308,34.69,1100.0,536.58,157.91,13.801,-,2.4782
126,2019,Estonia,0903XTR,20.173,1010.2,91.775,5.2821,30.668,1100.2,543.3,150.35,13.319,54.091,0.736
127,2019,Finland,0903XTR,14.985,1005.9,100.03,4.0594,22.007,1062.9,549.78,120.14,11.128,62.575,2.9071
128,2022,Poland,0903XTR,11.129,1010.0,92.973,3.5179,23.748,1084.5,549.93,133.83,11.827,66.81,1.4597
129,2022,Croatia,0903XTR,22.849,1016.2,83.556,3.1953,20.074,1059.6,550.04,110.94,10.551,53.724,2.03
130,2020,Hungary,0903XTR,12.033,1016.8,79.311,2.7207,21.352,1066.9,548.87,120.51,11.113,-,4.6815
131,2020,Bulgaria,0903XTR,19.933,1013.0,87.086,3.2594,25.511,1087.3,549.55,133.25,11.969,-,2.8392
132,2022,Netherlands,0903XTR,5.8165,1017.7,79.227,4.3799,25.603,1087.4,544.9,140.75,12.324,-,2.1683
133,2021,Ireland,0903XTR,8.332,1017.2,75.696,4.4079,24.221,1084.6,549.91,134.7,11.829,-,0.95587
134,2021,Spain,0903XTR,22.95,1007.8,93.502,3.5268,20.152,1058.6,549.93,110.93,10.603,49.659,4.8259
135,2018,Netherlands,0903XTR,5.5663,1020.5,74.396,2.8708,20.878,1058.6,550.16,119.2,10.916,-,5.1207
136,2022,Estonia,0903XTR,8.953,1022.9,87.202,4.1894,24.215,1087.2,550.01,134.03,11.866,80.961,1.289
137,2021,Luxembourg,0903XTR,4.0458,1021.7,80.988,5.052,28.201,1088.9,537.5,147.95,12.936,-,1.351
138,2021,Lithuania,0903XTR,28.391,1011.1,61.899,4.7442,30.051,1100.0,540.66,148.24,13.179,61.159,1.3516
139,2020,Germany,0903XTR,20.402,1013.2,87.538,3.9783,20.033,1058.6,550.0,110.59,10.599,54.218,3.8609
140,2019,Malta,0903XTR,21.092,1013.0,92.72,5.4171,31.283,1099.5,541.59,149.63,13.365,-,1.1219
141,2020,Slovenia,0903XTR,29.869,1011.4,46.575,5.1958,26.747,1096.6,550.46,134.21,12.456,-,1.5374
142,2020,Lithuania,0903XTR,13.087,1014.8,90.839,3.3333,25.72,1091.4,549.16,138.37,12.234,69.203,1.1043
143,2020,Estonia,0903XTR,20.215,1001.6,90.187,3.6584,25.223,1087.7,549.78,133.34,12.021,-,0.83775
144,2018,Republic of Cyprus,0903XTR,18.803,1010.4,82.971,2.9741,18.971,1045.4,550.21,106.71,10.25,47.86,4.9038
145,2018,Bulgaria,0903XTR,16.527,1014.7,64.969,3.4052,24.127,1077.5,550.4,130.71,11.81,-,2.2842
146,2021,Croatia,0903XTR,27.447,1008.9,64.833,4.1855,25.936,1092.5,550.19,133.8,12.02,64.814,1.2487
147,2022,Luxembourg,0903XTR,13.889,1008.9,70.593,3.9359,20.736,1066.2,550.01,119.05,11.0,-,1.563
148,2018,Greece,0903XTR,30.466,1010.9,43.157,4.3081,30.022,1100.0,545.4,148.91,13.186,-,1.8997
149,2021,Germany,0903XTR,22.704,1003.8,77.1,4.3775,21.034,1062.1,550.12,114.7,10.836,63.008,2.7851
150,2021,Republic of Cyprus,0903XTR,24.761,1011.9,77.246,4.2614,26.187,1094.0,550.19,135.5,12.338,-,3.1523
151,2021,Finland,0903XTR,16.642,1005.2,93.761,4.3808,19.186,1052.8,550.05,108.73,10.281,69.273,3.6868
152,2022,Slovakia,0903XTR,7.7772,1012.4,70.817,4.1804,24.036,1086.0,550.1,133.67,11.878,82.343,1.0707
153,2019,Malta,0903XTR,5.5262,1027.1,69.776,3.9665,33.877,1100.0,529.97,164.92,14.193,55.146,2.0807
154,2018,Republic of Cyprus,0903XTR,12.806,1013.2,78.617,3.4466,25.54,1083.7,549.99,136.71,12.126,66.651,5.2083
155,2020,Lithuania,0903XTR,12.784,1020.0,96.169,3.1192,24.252,1084.4,550.04,132.26,11.792,-,1.1189
156,2022,Hungary,0903XTR,9.9905,1007.5,90.738,3.9534,24.063,1083.9,549.97,133.29,11.708,74.112,1.2139
157,2021,Luxembourg,0903XTR,17.784,1018.8,78.239,4.1824,24.686,1087.9,550.19,133.23,12.036,-,2.1225
158,2021,Bulgaria,0903XTR,22.196,1016.1,76.598,4.25,25.435,1090.8,550.21,133.72,12.256,64.421,1.9993
159,2019,Bulgaria,0903XTR,31.271,1004.2,61.309,4.3234,25.684,1080.9,550.1,127.39,12.056,53.404,1.8514
160,2020,Italy,0903XTR,9.9147,1013.5,92.948,2.6042,19.289,1051.2,546.95,110.76,10.503,-,8.0218
161,2019,Portugal,0903XTR,12.739,1015.6,86.606,2.3865,22.704,1047.6,549.55,110.23,10.443,-,3.6305
162,2020,Luxembourg,0903XTR,10.262,1006.8,79.766,3.0263,24.39,1085.6,549.97,135.04,11.788,-,1.4893
163,2021,Czech Republic,0903XTR,24.909,1006.0,82.296,4.155,25.782,1090.8,550.09,134.34,12.193,-,1.0264
164,2021,Germany,0903XTR,20.212,1017.5,88.402,5.3608,25.585,1091.7,549.96,134.73,12.132,68.981,1.3298
165,2019,Slovakia,0903XTR,5.026,1028.7,79.29,2.3454,19.677,1044.3,544.33,113.79,10.583,79.427,5.6359
166,2018,France,0903XTR,11.066,1013.0,87.29,2.8486,19.439,1050.5,550.27,112.25,10.533,67.072,5.2753
167,2019,Sweden,0903XTR,19.654,1013.3,97.781,3.2774,19.99,1050.6,549.95,110.15,10.512,-,3.6582
168,2022,Latvia,0903XTR,8.1847,1020.7,86.612,4.3715,23.714,1084.2,549.92,133.67,11.791,79.141,1.6866
169,2020,Netherlands,0903XTR,22.447,1012.5,93.345,3.8525,20.215,1060.2,549.97,111.57,10.627,-,5.0589
170,2020,Republic of Cyprus,0903XTR,18.076,1014.1,71.127,3.3996,24.951,1088.2,549.99,133.5,12.034,68.628,2.0227
171,2021,Hungary,0903XTR,21.397,1011.1,84.694,5.3233,25.175,1087.5,550.09,132.68,11.994,66.744,1.7573
172,2020,Luxembourg,0903XTR,17.319,1012.2,90.828,2.5209,19.657,1054.5,550.28,109.37,10.43,-,5.302
173,2018,Germany,0903XTR,3.3266,1021.7,66.119,4.0339,33.462,1100.0,530.37,166.2,14.227,61.945,0.87606
174,2018,Ireland,0903XTR,10.744,1014.0,59.652,3.1374,25.209,1074.6,550.08,130.06,11.584,-,4.0483
175,2020,Belgium,0903XTR,22.574,1010.7,92.836,4.144,20.003,1058.6,550.06,110.35,10.59,50.991,4.7108
176,2020,Czech Republic,0903XTR,13.518,1014.6,91.116,3.3964,24.804,1088.1,549.94,134.73,11.942,71.372,1.1063
177,2020,Republic of Cyprus,0903XTR,14.244,1006.2,96.067,4.1381,31.769,1100.0,535.44,154.31,13.517,-,1.4638
178,2019,Ireland,0903XTR,29.36,1004.9,65.955,3.9915,25.504,1079.6,550.55,127.67,11.827,-,1.9827
179,2021,Bulgaria,0903XTR,19.932,1011.2,90.134,4.4661,20.106,1058.5,550.29,111.38,10.427,64.098,3.5851
180,2021,Estonia,0903XTR,8.7413,1022.3,75.011,5.3629,33.312,1100.0,526.27,163.91,14.158,66.106,0.96774
181,2021,Malta,0903XTR,7.5165,1019.2,99.647,3.1194,25.325,1085.6,546.14,137.41,12.207,75.027,1.7873
182,2022,Croatia,0903XTR,9.4971,1021.3,72.212,3.6383,19.591,1042.2,538.91,111.38,10.614,92.848,6.5602
183,2020,Belgium,0903XTR,19.49,1016.9,92.289,3.2447,22.334,1073.4,549.98,121.59,11.339,-,3.5447
184,2020,Spain,0903XTR,26.178,1016.7,38.986,6.6281,31.727,1100.0,534.25,153.52,13.618,-,1.8795
185,2022,Ireland,0903XTR,26.581,1010.4,74.039,3.9173,26.031,1092.9,549.86,134.75,12.238,59.061,0.17372
186,2019,Croatia,0903XTR,13.281,1024.4,51.287,3.5907,25.298,1080.7,550.02,134.87,12.004,-,2.3559
187,2022,Lithuania,0903XTR,12.935,1005.4,97.099,4.1444,24.189,1085.2,549.97,133.75,11.849,72.657,1.2988
188,2020,Sweden,0903XTR,12.123,996.43,91.758,2.5487,19.087,1049.1,547.46,109.25,10.389,-,6.2536
189,2021,Estonia,0903XTR,20.431,1007.7,89.454,3.4404,19.663,1055.6,550.02,110.11,10.517,56.466,4.0391
190,2021,Slovenia,0903XTR,21.823,1008.9,56.769,4.3829,25.652,1091.3,550.19,134.6,12.196,-,2.2851
191,2019,Estonia,0903XTR,22.152,1006.0,73.397,3.8433,25.948,1083.5,550.16,134.91,12.037,-,1.1536
192,2021,Portugal,0903XTR,3.2612,1019.1,74.472,4.136,23.64,1086.5,549.97,134.18,11.941,87.146,1.4605
193,2018,Poland,0903XTR,20.471,1013.4,81.102,3.7136,26.471,1089.5,549.98,139.13,12.429,52.715,1.7578
194,2018,Finland,0903XTR,33.55,1007.1,47.126,4.4189,29.752,1099.9,546.84,146.31,13.057,55.84,1.8852
195,2018,Austria,0903XTR,14.055,1001.8,84.421,2.746,19.827,1044.0,550.32,107.56,10.269,-,3.9009
196,2020,Estonia,0903XTR,0.83101,1019.1,87.27,4.0885,34.148,1100.1,523.73,169.43,14.389,68.388,1.2741
197,2020,Finland,0903XTR,9.9573,1019.4,89.105,2.9147,23.88,1083.8,549.89,133.02,11.844,-,2.2008
198,2022,Lithuania,0903XTR,8.1886,1023.9,82.024,3.9147,23.797,1085.9,550.01,134.59,11.828,80.174,1.456
199,2018,Belgium,0903XTR,0.68481,1026.7,56.029,4.0703,34.213,1100.0,527.71,168.83,14.358,-,2.979
200,2020,Romania,0903XTR,10.714,1010.6,71.77,2.7423,20.644,1060.3,547.16,117.62,10.935,-,5.3648
201,2022,Croatia,0903XTR,23.847,1019.8,55.714,4.4283,27.716,1100.0,544.72,143.44,12.882,-,1.2034
202,2018,Slovakia,0903XTR,28.216,1007.2,36.618,3.2601,22.401,1064.6,550.02,118.65,11.1,52.806,2.8501
203,2019,Belgium,0903XTR,19.274,1006.4,79.035,3.0978,20.243,1051.1,549.83,111.39,10.619,62.31,4.3594
204,2018,Italy,0903XTR,12.738,1013.9,56.018,3.4558,31.188,1081.4,549.78,134.93,11.991,67.59,4.3123
205,2018,Ireland,0903XTR,21.291,1011.9,52.06,3.6805,30.169,1093.9,549.84,140.81,12.666,62.909,2.0972
206,2021,Finland,0903XTR,29.537,1007.3,63.551,3.5026,20.69,1060.7,550.01,110.1,10.604,53.427,5.4502
207,2018,Malta,0903XTR,17.035,1007.9,81.726,3.4441,23.546,1074.7,549.62,128.78,11.694,52.152,2.1825
208,2018,Hungary,0903XTR,28.535,1011.9,53.645,4.4689,30.505,1100.1,542.9,149.26,13.34,55.239,1.8868
209,2020,Netherlands,0903XTR,16.83,1015.6,75.551,3.0969,22.46,1074.5,549.82,123.72,11.281,-,2.9877
210,2022,Spain,0903XTR,8.0589,1031.2,85.986,4.8726,30.035,1094.4,533.39,154.53,13.437,69.412,0.89657
211,2021,Malta,0903XTR,15.525,1026.8,77.614,4.6226,24.539,1086.6,550.04,132.73,11.865,-,1.6139
212,2021,Croatia,0903XTR,31.424,1006.4,72.598,4.3576,26.431,1093.5,549.95,132.86,12.205,57.305,1.3236
213,2019,Bulgaria,0903XTR,20.842,1012.5,91.044,5.1953,30.532,1100.0,544.12,148.96,13.266,57.372,1.1236
214,2018,Bulgaria,0903XTR,19.378,1012.2,77.314,4.2488,31.149,1099.9,540.65,153.11,13.493,52.586,1.9591
215,2020,Finland,0903XTR,8.0929,1008.9,78.245,2.9391,24.066,1085.6,549.84,135.4,11.958,80.493,1.7561
216,2022,Estonia,0903XTR,8.7158,1029.3,85.731,5.5036,33.067,1099.9,525.6,164.16,14.204,-,1.7274
217,2018,Italy,0903XTR,13.952,1009.9,81.052,2.737,19.561,1050.2,549.94,111.55,10.518,60.815,4.8996
218,2019,Denmark,0903XTR,10.94,1020.0,91.723,4.4466,33.712,1100.1,535.58,161.58,13.942,84.116,1.2468
