ID,YEAR,LOC,SN,AT,AP,AH,AFDP,GTEP,TIT,TAT,TEY,CDP,NOX
24553,2020,Estonia,0903XTR,28.501,1013.0,56.157,4.0489,20.397,1060.1,550.07,109.29,10.698,-
24554,2020,Czech Republic,0903XTR,14.969,1001.0,84.426,3.1781,24.46,1085.4,550.21,133.03,11.902,77.407
24555,2019,Portugal,0903XTR,7.1189,1015.5,92.94,2.7186,19.215,1040.2,547.57,109.21,10.355,74.08
24556,2022,Denmark,0903XTR,15.15,1012.5,87.076,3.5677,24.321,1086.7,549.72,133.8,11.843,66.113
24557,2019,Sweden,0903XTR,5.0094,1021.2,78.13,2.6457,22.067,1067.8,549.82,126.12,11.365,76.017
24558,2019,Lithuania,0903XTR,29.53,1012.0,71.651,4.0701,23.972,1071.9,550.08,121.43,11.48,-
24559,2018,Austria,0903XTR,15.277,1020.2,67.238,4.3276,31.865,1099.9,536.48,156.38,13.751,50.327
24560,2021,Hungary,0903XTR,16.402,997.88,74.859,4.2386,24.441,1085.7,550.24,133.92,11.865,-
24561,2021,Spain,0903XTR,30.063,1008.2,62.574,3.4824,20.508,1059.8,550.13,109.85,10.758,51.138
24562,2019,Austria,0903XTR,25.968,1013.0,62.401,5.2518,30.344,1099.8,544.77,147.89,13.196,55.552
24563,2018,Spain,0903XTR,24.826,1007.9,64.986,2.8437,20.099,1051.2,550.26,109.94,10.59,46.959
24564,2019,Netherlands,0903XTR,27.509,1011.6,68.102,4.1478,25.371,1079.8,549.51,127.94,11.835,-
24565,2021,Croatia,0903XTR,13.354,1015.7,88.711,4.9838,24.653,1085.9,550.19,133.68,11.96,71.945
24566,2021,Estonia,0903XTR,22.392,1007.5,67.624,3.633,19.892,1057.4,550.11,109.73,10.486,58.299
24567,2020,Finland,0903XTR,28.758,1010.0,51.975,4.7709,26.504,1096.9,549.96,135.88,12.438,-
24568,2021,Luxembourg,0903XTR,30.79,1009.5,51.178,4.4973,26.359,1094.0,549.56,133.75,12.333,74.646
24569,2018,Denmark,0903XTR,7.9848,1017.3,82.813,3.0177,23.06,1072.3,550.1,129.36,11.516,-
24570,2020,Croatia,0903XTR,11.92,1002.1,94.152,4.1569,32.569,1099.9,531.34,159.44,13.826,71.938
24571,2018,Sweden,0903XTR,15.975,1019.5,53.259,4.1961,33.487,1100.0,538.08,155.03,13.633,-
24572,2020,Croatia,0903XTR,19.933,1013.7,91.353,3.4415,19.393,1056.0,550.01,109.23,10.48,54.108
24573,2021,Ireland,0903XTR,28.569,1009.8,69.069,4.2237,25.994,1092.1,550.42,132.81,12.228,-
24574,2020,Slovenia,0903XTR,24.964,1013.6,77.912,3.5971,20.171,1059.3,550.0,110.09,10.679,-
24575,2021,Portugal,0903XTR,20.054,1017.4,90.384,3.4197,20.356,1060.5,550.09,112.3,10.725,59.47
24576,2018,Denmark,0903XTR,-5.8956,1034.1,70.851,4.3541,36.533,1100.0,518.3,177.88,15.083,-
24577,2018,Romania,0903XTR,8.9328,1020.6,77.562,3.1734,26.377,1073.7,549.84,129.74,11.691,-
24578,2020,Germany,0903XTR,24.222,1001.3,74.375,3.12,20.223,1058.5,549.95,109.55,10.53,52.005
24579,2019,Finland,0903XTR,10.019,1014.2,95.434,3.599,25.26,1078.3,550.03,135.29,11.855,61.275
24580,2020,Greece,0903XTR,9.6246,1022.7,94.775,4.1405,33.231,1099.2,528.84,159.99,13.972,73.312
24581,2022,Germany,0903XTR,10.224,1018.0,70.697,5.1602,32.33,1100.2,528.99,161.39,14.068,69.254
24582,2021,France,0903XTR,14.351,1018.3,72.441,3.7291,32.731,1100.1,529.66,160.01,13.938,-
24583,2018,Germany,0903XTR,11.706,1014.5,52.463,3.3553,27.123,1082.8,550.1,136.37,12.027,-
24584,2022,Poland,0903XTR,23.217,1014.2,76.134,4.6218,30.667,1099.7,537.12,150.55,13.401,53.803
24585,2020,Spain,0903XTR,7.3215,1009.5,79.369,2.9204,23.6,1083.3,549.89,133.95,11.718,78.044
24586,2018,France,0903XTR,10.196,1018.9,79.731,4.0842,33.953,1100.0,534.15,160.47,13.899,54.826
24587,2022,Germany,0903XTR,26.362,1015.3,66.867,4.3989,30.567,1100.1,537.01,150.85,13.405,57.519
24588,2019,Estonia,0903XTR,23.185,1010.8,99.78,3.9983,23.322,1068.2,550.44,121.44,11.258,47.466
24589,2022,Luxembourg,0903XTR,2.3981,1016.5,83.047,3.8981,23.642,1085.5,549.74,133.67,11.742,-
24590,2022,Ireland,0903XTR,24.128,1013.0,88.974,4.0181,25.621,1092.0,549.79,133.73,12.239,58.562
24591,2018,Netherlands,0903XTR,28.044,1006.8,47.38,2.884,20.471,1052.8,550.16,109.98,10.679,-
24592,2018,Greece,0903XTR,7.3947,1023.5,75.105,4.4942,32.867,1100.0,531.58,163.21,14.116,49.321
24593,2019,Malta,0903XTR,9.4096,1023.6,73.806,4.4302,32.914,1099.9,535.67,161.88,13.963,80.151
24594,2018,Austria,0903XTR,5.0347,1010.1,80.692,2.6339,19.29,1036.8,543.76,108.94,10.319,-
24595,2018,Latvia,0903XTR,17.727,1012.0,76.098,4.3293,31.028,1099.9,540.75,153.01,13.508,53.122
24596,2020,Romania,0903XTR,8.5143,1016.5,77.843,3.4143,27.055,1089.7,541.92,144.51,12.646,90.191
24597,2019,Greece,0903XTR,22.567,1009.3,95.055,3.4101,21.236,1056.2,550.12,113.34,10.82,-
24598,2019,Finland,0903XTR,23.195,1009.4,93.706,5.0094,29.464,1099.9,547.7,145.42,13.022,54.297
24599,2018,Italy,0903XTR,13.242,1015.9,65.2,4.043,34.607,1100.0,536.62,157.65,13.766,-
24600,2022,Finland,0903XTR,13.851,1010.0,92.129,4.1461,24.243,1086.2,550.08,133.71,11.899,-
24601,2019,Germany,0903XTR,19.986,1007.0,90.417,3.7344,23.879,1071.9,550.08,126.45,11.542,53.982
24602,2019,Germany,0903XTR,8.1023,1021.1,69.083,3.8635,33.454,1100.0,532.8,162.42,14.013,-
24603,2020,Finland,0903XTR,21.856,1002.9,85.021,2.6104,20.114,1055.6,550.26,109.04,10.524,67.402
24604,2020,Italy,0903XTR,11.922,1007.4,88.85,4.1332,32.172,1099.8,531.24,159.73,13.814,68.935
24605,2022,Greece,0903XTR,22.441,1012.8,82.656,3.7519,25.347,1091.1,550.05,134.1,12.013,64.274
24606,2018,Poland,0903XTR,20.941,1010.3,76.968,2.907,19.727,1050.2,549.89,109.76,10.553,49.714
24607,2018,Finland,0903XTR,23.993,1015.2,57.861,2.7258,24.401,1049.9,550.52,108.18,10.397,-
24608,2019,Slovenia,0903XTR,18.354,1017.9,81.227,3.9313,21.454,1046.0,540.48,114.1,11.06,-
24609,2022,Finland,0903XTR,10.631,1007.1,95.055,3.3938,19.246,1026.1,531.18,105.36,10.357,118.67
24610,2019,Croatia,0903XTR,16.473,1015.3,97.492,4.5098,24.733,1079.3,550.0,131.19,11.89,-
24611,2022,Slovakia,0903XTR,12.814,1018.9,93.783,3.669,19.059,1055.3,549.96,111.17,10.521,-
24612,2018,Bulgaria,0903XTR,31.033,1005.5,52.668,4.3799,29.506,1099.9,547.74,145.26,13.017,-
24613,2018,Latvia,0903XTR,20.692,1015.1,68.306,4.2423,31.215,1100.0,540.41,153.02,13.545,-
24614,2020,Slovenia,0903XTR,26.493,1016.5,38.592,6.7282,32.237,1100.0,532.59,154.36,13.746,77.256
24615,2021,Slovakia,0903XTR,20.745,1011.7,84.356,4.8504,30.22,1100.3,537.38,151.66,13.491,66.705
24616,2018,Romania,0903XTR,19.529,1012.4,77.631,3.1084,20.375,1055.1,549.7,113.49,10.717,60.352
24617,2020,Slovenia,0903XTR,25.513,1009.9,83.142,4.2215,25.624,1091.5,550.1,133.9,12.168,-
24618,2022,Malta,0903XTR,21.232,1006.8,75.514,3.0216,19.905,1057.5,550.02,111.01,10.508,-
24619,2019,Greece,0903XTR,15.2,1012.0,94.984,3.7909,25.193,1080.8,549.86,134.64,11.949,-
24620,2021,Italy,0903XTR,4.4561,1013.3,95.379,3.1562,23.956,1086.1,550.14,135.36,11.867,82.395
24621,2018,Republic of Cyprus,0903XTR,29.833,1013.7,54.54,4.4313,30.204,1100.0,544.04,148.29,13.246,54.442
24622,2021,Austria,0903XTR,29.475,1011.4,60.43,4.4743,26.595,1095.5,550.14,134.31,12.331,71.418
24623,2020,Slovenia,0903XTR,14.18,1017.5,91.007,4.1097,32.528,1099.9,532.07,157.05,13.773,76.902
24624,2021,Sweden,0903XTR,20.35,1005.4,98.337,4.2968,23.793,1079.2,550.29,126.9,11.507,-
24625,2018,Republic of Cyprus,0903XTR,18.813,1004.9,61.013,3.4756,24.215,1077.7,550.44,130.51,11.804,52.18
24626,2019,Czech Republic,0903XTR,24.553,1007.3,92.636,3.9199,24.01,1071.6,550.32,123.93,11.524,48.095
24627,2020,Spain,0903XTR,11.065,1024.0,92.12,2.987,24.151,1085.9,549.76,134.22,11.945,-
24628,2022,Malta,0903XTR,5.1002,1017.0,81.239,3.8774,23.596,1085.3,549.93,133.68,11.837,-
24629,2020,Ireland,0903XTR,21.186,1010.5,94.844,3.1942,19.705,1056.0,550.02,108.84,10.494,-
24630,2018,Latvia,0903XTR,22.3,1015.1,48.633,3.5516,31.513,1087.3,550.46,135.72,12.172,64.259
24631,2021,Belgium,0903XTR,8.5196,1024.6,87.425,5.9138,33.687,1100.1,526.54,163.37,14.158,-
24632,2018,Latvia,0903XTR,14.667,1014.3,73.793,3.3991,24.97,1083.0,550.23,135.42,12.148,-
24633,2022,Netherlands,0903XTR,27.342,1011.4,58.649,4.1105,25.919,1093.4,549.91,133.81,12.247,63.157
24634,2020,Latvia,0903XTR,11.689,1008.7,99.609,2.47,19.242,1054.4,550.07,110.52,10.422,74.909
24635,2021,Ireland,0903XTR,13.874,1006.9,86.695,6.1804,32.271,1100.0,532.65,157.05,13.734,69.671
24636,2019,France,0903XTR,20.85,1016.2,85.177,4.7023,30.447,1099.9,543.71,150.96,13.325,53.334
24637,2019,Finland,0903XTR,5.2281,1022.1,90.992,2.8774,19.154,1044.5,549.26,109.53,10.464,-
24638,2020,France,0903XTR,26.162,1008.6,55.243,4.1231,25.306,1090.4,549.73,133.35,12.121,-
24639,2021,Republic of Cyprus,0903XTR,33.038,1005.1,66.428,4.7064,29.287,1100.0,544.1,144.23,12.923,-
24640,2021,Poland,0903XTR,6.2781,1002.8,50.433,5.7208,33.228,1099.7,529.81,163.21,13.912,-
24641,2021,Estonia,0903XTR,17.275,1012.5,72.808,4.1878,24.958,1088.2,549.64,134.33,12.005,71.889
24642,2021,Italy,0903XTR,9.59,1028.6,88.618,4.333,22.099,1068.5,547.46,123.37,11.291,89.69
24643,2021,Slovenia,0903XTR,24.054,1008.7,70.514,4.2989,25.55,1090.9,550.09,133.76,12.113,-
24644,2020,Slovenia,0903XTR,11.662,1014.6,94.455,3.3274,24.385,1086.3,550.16,134.44,11.955,71.248
24645,2019,Lithuania,0903XTR,25.073,1010.6,76.452,5.3744,30.832,1099.8,543.21,148.82,13.304,-
24646,2018,Czech Republic,0903XTR,22.71,1013.0,70.667,4.2396,30.307,1100.1,543.79,150.03,13.305,50.012
24647,2022,Belgium,0903XTR,24.455,1016.6,70.105,4.0458,25.727,1092.7,550.38,133.77,12.209,67.132
24648,2019,Belgium,0903XTR,7.2813,1021.4,75.161,3.4894,29.532,1099.9,544.06,154.6,13.288,63.495
24649,2018,France,0903XTR,22.977,1003.5,70.949,4.288,30.243,1099.8,544.57,149.39,13.312,-
24650,2021,Slovenia,0903XTR,28.793,1008.6,63.529,4.1596,25.929,1091.2,549.86,132.64,12.033,-
24651,2019,Ireland,0903XTR,16.871,1015.5,96.845,4.502,24.742,1079.5,550.04,131.23,11.8,57.7
24652,2020,Hungary,0903XTR,24.962,1008.4,65.867,4.0788,25.736,1091.6,550.02,133.81,12.185,65.798
24653,2019,Romania,0903XTR,13.072,1018.2,85.189,2.5225,22.196,1058.5,549.71,117.78,10.87,-
24654,2019,Spain,0903XTR,11.828,1020.7,93.322,4.4579,34.006,1099.9,534.5,161.54,14.029,82.644
24655,2022,Ireland,0903XTR,23.965,1005.7,94.694,3.5043,22.552,1072.6,549.99,120.9,11.254,-
24656,2018,France,0903XTR,20.046,1012.0,76.214,3.7626,24.392,1078.4,550.25,130.35,11.832,-
24657,2019,Croatia,0903XTR,26.639,1011.8,62.586,3.9085,25.104,1079.2,550.02,128.38,11.819,54.508
24658,2020,Slovenia,0903XTR,13.856,1011.2,89.015,3.2217,24.647,1086.2,549.93,133.92,11.869,-
24659,2020,Slovenia,0903XTR,20.747,1010.6,80.06,4.2787,25.116,1089.4,549.66,133.94,12.097,-
24660,2018,Romania,0903XTR,19.35,1008.1,87.303,3.1221,19.52,1049.5,550.2,109.66,10.393,48.837
24661,2018,Italy,0903XTR,17.948,1001.1,60.077,4.1675,33.272,1100.1,540.77,152.93,13.525,58.117
24662,2019,Greece,0903XTR,4.9572,1030.1,89.564,3.1781,22.238,1065.2,549.93,123.36,11.344,68.337
24663,2022,Spain,0903XTR,18.081,1004.1,80.334,2.9739,19.53,1056.0,549.95,110.74,10.5,-
24664,2019,Belgium,0903XTR,27.812,1013.4,50.861,3.1032,19.125,1042.6,549.69,102.57,10.187,49.734
24665,2022,Italy,0903XTR,8.0593,1015.1,64.597,5.2525,32.326,1100.2,529.98,162.31,13.979,66.208
24666,2018,Spain,0903XTR,24.067,1009.4,84.181,4.4254,29.931,1099.9,545.17,147.61,13.161,52.666
24667,2022,Malta,0903XTR,5.2329,1026.2,79.382,5.4284,33.415,1100.2,524.22,167.58,14.422,-
24668,2019,Denmark,0903XTR,13.94,1020.5,71.44,3.5454,25.319,1079.6,549.91,134.31,11.91,61.105
24669,2021,Lithuania,0903XTR,6.688,1019.0,99.795,2.9828,23.964,1085.0,549.99,134.1,11.878,77.249
24670,2022,Greece,0903XTR,21.604,1013.1,88.626,3.6124,23.95,1083.3,550.13,129.23,11.796,-
24671,2019,Ireland,0903XTR,19.446,1020.8,56.757,3.7652,25.932,1082.7,550.02,134.36,12.079,-
24672,2020,Republic of Cyprus,0903XTR,10.443,1010.9,71.937,2.5709,19.143,1048.0,545.19,110.14,10.44,-
24673,2021,Germany,0903XTR,29.16,1014.5,47.262,4.2052,25.968,1093.1,550.31,132.79,12.193,67.084
24674,2022,Netherlands,0903XTR,8.9379,1025.5,80.45,5.5819,32.536,1099.9,527.06,163.12,14.155,-
24675,2020,Slovenia,0903XTR,22.968,1010.4,93.797,4.2531,24.961,1087.4,549.88,131.08,12.005,60.439
24676,2021,Sweden,0903XTR,10.137,1027.5,69.57,5.6988,33.164,1099.8,528.02,161.22,13.941,65.883
24677,2018,Luxembourg,0903XTR,11.797,1002.1,71.019,2.9294,23.562,1061.6,549.51,121.97,11.089,-
24678,2022,Latvia,0903XTR,4.9857,1021.2,89.132,4.0333,23.461,1083.2,549.92,132.62,11.825,85.522
24679,2022,Romania,0903XTR,6.1168,1024.4,91.73,4.0596,23.798,1085.0,550.13,134.66,11.905,-
24680,2018,France,0903XTR,23.533,1011.9,59.927,4.302,30.617,1100.0,542.38,150.33,13.393,-
24681,2022,Portugal,0903XTR,25.43,1015.1,74.867,3.3338,20.45,1061.6,549.69,111.74,10.662,-
24682,2018,Austria,0903XTR,6.0631,1021.2,76.872,3.3348,24.725,1083.2,549.78,138.25,12.06,71.581
24683,2022,Belgium,0903XTR,12.724,1008.4,92.588,5.5416,31.662,1100.3,533.24,157.65,13.808,-
24684,2019,Latvia,0903XTR,17.367,1012.8,69.399,3.7309,25.839,1089.4,550.02,134.67,11.98,-
24685,2020,Austria,0903XTR,10.914,1018.6,82.025,3.2258,23.935,1085.5,549.98,133.99,11.818,-
24686,2019,Austria,0903XTR,13.794,1010.2,83.912,3.9132,33.025,1099.9,537.28,157.51,13.73,58.668
24687,2020,Netherlands,0903XTR,15.032,992.56,84.415,3.1909,23.757,1080.3,550.06,129.85,11.534,84.121
24688,2021,Finland,0903XTR,23.202,1008.5,73.572,4.7348,29.265,1099.8,540.92,148.1,13.18,-
24689,2020,Hungary,0903XTR,15.681,1004.1,88.565,3.242,24.938,1087.1,550.17,134.44,11.839,78.239
24690,2018,Spain,0903XTR,8.3665,1026.1,76.477,3.3898,23.463,1074.9,548.89,131.64,11.82,-
24691,2020,Italy,0903XTR,21.009,1010.1,80.598,3.6852,25.126,1089.7,550.26,133.72,12.122,65.47
24692,2018,Netherlands,0903XTR,24.602,1016.7,79.354,4.3211,30.114,1100.0,544.04,148.07,13.288,45.671
24693,2022,Finland,0903XTR,10.65,1019.1,72.799,4.0887,24.213,1086.6,550.0,134.83,12.047,-
24694,2019,Hungary,0903XTR,31.394,1012.0,54.242,4.2206,24.29,1073.8,549.92,122.42,11.588,52.357
24695,2019,Sweden,0903XTR,18.796,1011.1,94.459,3.7418,24.22,1075.1,550.02,128.44,11.672,53.416
24696,2021,Hungary,0903XTR,27.911,1009.0,82.817,4.2051,26.115,1092.6,549.85,133.81,12.299,-
24697,2021,Latvia,0903XTR,10.037,1022.1,88.531,2.9192,23.641,1083.6,549.91,132.61,11.745,76.068
24698,2021,Italy,0903XTR,21.504,1013.2,87.249,4.1052,25.493,1089.9,550.22,133.61,12.029,64.753
24699,2021,Bulgaria,0903XTR,20.338,1005.9,74.83,3.007,24.796,1087.2,550.35,133.31,12.006,71.63
24700,2020,Luxembourg,0903XTR,27.024,1005.8,69.761,4.9035,26.164,1093.4,550.21,134.01,12.16,-
24701,2018,Italy,0903XTR,21.259,1012.0,84.921,3.6051,22.728,1068.0,550.29,122.33,11.297,-
24702,2019,Slovenia,0903XTR,25.228,1012.8,85.504,5.0028,29.64,1099.8,547.15,145.55,13.091,52.003
24703,2018,Hungary,0903XTR,10.979,1014.9,83.213,2.9915,24.734,1068.6,549.76,125.76,11.411,-
24704,2022,Slovakia,0903XTR,7.5416,1021.8,92.744,3.2947,19.091,1044.9,541.25,111.69,10.507,-
24705,2021,Portugal,0903XTR,20.023,1008.4,88.385,4.8498,29.014,1100.0,541.92,148.52,13.176,-
24706,2020,Estonia,0903XTR,29.906,1006.1,35.884,4.2099,26.324,1094.1,550.19,133.87,12.249,-
24707,2022,Romania,0903XTR,24.679,1006.8,82.089,4.086,25.698,1092.1,550.41,133.78,12.242,63.367
24708,2021,Italy,0903XTR,5.3449,1021.1,91.843,4.1819,23.648,1084.2,549.91,133.64,11.757,-
24709,2019,Denmark,0903XTR,20.854,1015.5,68.652,4.5976,31.589,1100.0,540.34,154.38,13.487,58.815
24710,2022,Spain,0903XTR,22.404,1014.1,81.227,3.1844,20.046,1060.2,550.04,111.82,10.603,53.669
24711,2020,Czech Republic,0903XTR,24.539,1015.9,65.294,5.4377,26.271,1094.9,549.8,135.74,12.239,-
24712,2019,Denmark,0903XTR,20.756,1008.1,63.104,3.7623,25.442,1082.0,549.99,134.05,11.964,-
24713,2022,Latvia,0903XTR,10.693,1023.3,64.334,4.0203,24.644,1083.8,547.0,135.43,12.041,78.349
24714,2021,Croatia,0903XTR,7.295,1026.2,90.355,4.0396,19.63,1049.4,544.23,110.71,10.591,119.43
24715,2019,Bulgaria,0903XTR,20.933,1012.3,94.775,3.8637,24.645,1076.4,549.85,128.84,11.785,51.885
24716,2022,Portugal,0903XTR,19.743,1015.1,80.67,4.4364,30.96,1100.2,535.2,153.78,13.551,58.713
24717,2022,Lithuania,0903XTR,6.6849,1031.7,75.02,5.2832,33.559,1099.6,523.67,166.93,14.277,59.274
24718,2022,Italy,0903XTR,7.4898,1013.3,80.757,3.993,23.454,1083.8,550.03,134.23,11.808,84.311
24719,2020,Belgium,0903XTR,28.894,1013.3,51.751,4.0103,20.273,1059.0,550.07,108.22,10.579,53.99
24720,2022,Ireland,0903XTR,12.146,1013.8,82.216,4.0389,24.378,1086.6,549.95,134.71,11.925,-
24721,2019,Slovakia,0903XTR,10.606,1021.4,97.441,3.694,27.166,1074.0,540.72,138.67,12.381,-
24722,2020,Poland,0903XTR,20.633,1009.5,80.663,3.6193,25.207,1088.7,550.23,133.09,12.053,-
